1-ый месяц,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оборудование и ремонт,№,Наименование,Цена (руб.),Количество,Итого (руб.),,,Закупка продуктов,№,Наименование,Цена (руб/кг),Количество (кг),Итого (руб.),,,Реклама,№,Наименование,Цена ,Количество,Итого (руб.),,Затраты на персонал,№,Наименование,Цена (руб.),Количество,Итого (руб.),,Логистика и прочие траты,№,Наименование,Цена (руб.),Количество,Итого (руб.),,Аренда и налоги,№,Наименование,Цена (руб.),Количество,Итого (руб.)
,1,Холодильник,183000,6,1098000,,,,1,Сырая/замороженная рыба,300,273333,82000000,103320000,,,1,Реклама Google,429$ за 10 дней,3,356070,,,1,Курьер,48000,400,19200000,,,1,Перевозка грузов в фурах,45 за км,240000,10800000,,,1,Склад,730000,3,2190000
,2,Морозилка в ПВЗ,36000,200,7200000,,,,2,Вяленая/сушёная рыба,2000,17571,35142857,44280000,,,2,Наружная реклама (Баннер),~150000,3,450000,,,2,Кассир,58000,200,11600000,,,2,Брендированная сумка курьера и одежда,7000,250,1750000,,,2,ПВЗ,55000,200,11000000
,3,"Потолок, пол, стены",26250,200,5250000,,,,3,Овощи,39,1321499,51538462,60300001,,,3,Телевизионная реклама,~80000 за один показ,10,800000,,,3,Менеджер на складе,82000,3,246000,,,3,Мопед,10000,200,2000000,,,3,,,,
,4,Стелаж пристенный,75000,200,15000000,,,,4,Фрукты ,69,702341,48461538,56699999,,,4,Яндекс баннер,2500000,1,2500000,,,4,Кладовщик,39000,30,1170000,,,4,Бензин,37,4000,148000,,,4,,,,
,5,Стелаж стеклянный,28000,200,5600000,,,,5,Алкоголь,1260,46825,59000000,79650000,,,5,,,,4106070,,,5,Бухгалтер,46000,1,46000,,,5,Комммунальные расходы,8000,203,1624000,,,5,,,,
,6,,,,,,,,6,Прочее,-,-,51000000,55080000,,,6,,,,,,,6,Программист,91000,3,273000,,,6,Сервер,70000,1,70000,,,6,,,,
,7,,,,,,,,7,,,,,399330000,,,7,,,,,,,7,Менеджер на ПВЗ,63000,50,3150000,,,7,,,,,,,7,,,,
,8,,,,,,,,8,,,,327142857,406717605,79574748,,8,,,,,,,8,Уборщица,30000,100,3000000,,,8,,,,,,,8,,,,
,9,,,,,,,,9,,,,,,,,9,,,,,,,9,Оператор тех. поддержки,50000,10,500000,,,9,,,,,,,9,,,,
,10,,,,,,,,10,,,,,,,,10,,,,,,,10,,,,,,,10,,,,,,,10,,,,
,11,,,,,,,,11,,,,,,,,11,,,,,,,11,,,,,,,11,,,,,,,11,,,,
,12,,,,,,,,12,,,,,,,,12,,,,,,,12,,,,,,,12,,,,,,,12,,,,
,13,,,,,,,,13,,,,,,,,13,,,,,,,13,,,,,,,13,,,,,,,13,,,,
,14,,,,,,,,14,,,,,,,,14,,,,,,,14,,,,,,,14,,,,,,,14,,,,
,15,,,,,,,,15,,,,,,,,15,,,,,,,15,,,,,,,15,,,,,,,15,,,,
,16,,,,,,,,16,,,,,,,,16,,,,,,,16,,,,,,,16,,,,,,,16,,,,
,17,,,,,,,,17,,,,,,,,17,,,,,,,17,,,,,,,17,,,,,,,17,,,,
,18,,,,,,,,18,,,,,,,,18,,,,,,,18,,,,,,,18,,,,,,,18,,,,
,19,,,,,,,,19,,,,,,,,19,,,,,,,19,,,,,,,19,,,,,,,19,,,,
"Итого ""Оборудование и ремонт"" (руб.) ",34148000,,,,,,,"Итого ""Закупка продуктов"" (руб.) ",327142857,,,,,,,"Итого ""Реклама"" (руб.) ",4106070,,,,,,"Итого ""Затраты на персонал"" (руб.) ",39185000,,,,,,"Итого ""Логистика и прочие траты"" (руб.) ",16322000,,,,,,"Итого ""Аренда и налоги"" (руб.) ",13190000,,,,
,За месяц,,,,,,,,За месяц,,,,,,,,За месяц,,,,,,,За месяц,,,,,,,За месяц,,,,,,,За месяц,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Итого (руб.),434093927,,Итого доходов (руб.),406717605,,Прибыль без НДС,-27376322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,За месяц,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-ой месяц,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оборудование и ремонт,№,Наименование,Цена (руб.),Количество,Итого (руб.),,,Закупка продуктов,№,Наименование,Цена (руб/кг),Количество (кг),Итого (руб.),,,Реклама,№,Наименование,Цена ,Количество,Итого (руб.),,Затраты на персонал,№,Наименование,Цена (руб.),Количество,Итого (руб.),,Логистика и прочие траты,№,Наименование,Цена (руб.),Количество,Итого (руб.),,Аренда и налоги,№,Наименование,Цена (руб.),Количество,Итого (руб.)
,1,"На случай ЧП, неустойки и прочее",,,10000000,,,,1,Сырая/замороженная рыба,300,314333,94300000,118818000,,,1,Реклама Google,429$ за 10 дней,3,356070,,,1,Курьер,48000,400,19200000,,,1,Перевозка грузов в фурах,45 за км,240000,10800000,,,1,Склад,730000,3,2190000
,2,Морозилка в ПВЗ,36000,20,720000,,,,2,Вяленая/сушёная рыба,2000,20207,40414286,50922000,,,2,Наружная реклама (Баннер),~150000,3,450000,,,2,Кассир,58000,200,11600000,,,2,Бензин,37,4000,148000,,,2,ПВЗ,55000,220,12100000
,3,"Потолок, пол, стены",26250,20,525000,,,,3,Овощи,39,1519724,59269231,69345000,,,3,Телевизионная реклама,~80000 за один показ,10,800000,,,3,Менеджер на складе,82000,3,246000,,,3,Комммунальные расходы,8000,203,1624000,,,3,,,,
,4,Стелаж пристенный,75000,20,1500000,,,,4,Фрукты ,69,807692,55730769,65205000,,,4,Яндекс баннер,2500000,1,2500000,,,4,Кладовщик,39000,30,1170000,,,4,,,,,,,4,,,,
,5,Стелаж стеклянный,28000,20,560000,,,,5,Алкоголь,1260,53849,67850000,91597500,,,5,,,,,,,5,Бухгалтер,46000,1,46000,,,5,,,,,,,5,,,,
,6,,,,,,,,6,Прочее,-,-,58650000,63342000,,,6,,,,,,,6,Программист,91000,3,273000,,,6,,,,,,,6,,,,
,7,,,,,,,,7,,,,,459229500,,,7,,,,,,,7,Менеджер на ПВЗ,63000,50,3150000,,,7,,,,,,,7,,,,
,8,,,,,,,,8,,,,376214286,467725246,91510960,,8,,,,,,,8,Уборщица,30000,100,3000000,,,8,,,,,,,8,,,,
,9,,,,,,,,9,,,,,,,,9,,,,,,,9,Оператор тех. поддержки,50000,10,500000,,,9,,,,,,,9,,,,
,10,,,,,,,,10,,,,,,,,10,,,,,,,10,,,,,,,10,,,,,,,10,,,,
,11,,,,,,,,11,,,,,,,,11,,,,,,,11,,,,,,,11,,,,,,,11,,,,
,12,,,,,,,,12,,,,,,,,12,,,,,,,12,,,,,,,12,,,,,,,12,,,,
,13,,,,,,,,13,,,,,,,,13,,,,,,,13,,,,,,,13,,,,,,,13,,,,
,14,,,,,,,,14,,,,,,,,14,,,,,,,14,,,,,,,14,,,,,,,14,,,,
,15,,,,,,,,15,,,,,,,,15,,,,,,,15,,,,,,,15,,,,,,,15,,,,
,16,,,,,,,,16,,,,,,,,16,,,,,,,16,,,,,,,16,,,,,,,16,,,,
,17,,,,,,,,17,,,,,,,,17,,,,,,,17,,,,,,,17,,,,,,,17,,,,
,18,,,,,,,,18,,,,,,,,18,,,,,,,18,,,,,,,18,,,,,,,18,,,,
,19,,,,,,,,19,,,,,,,,19,,,,,,,19,,,,,,,19,,,,,,,19,,,,
"Итого ""Оборудование и ремонт"" (руб.) ",13305000,,,,,,,"Итого ""Закупка продуктов"" (руб.) ",376214286,,,,,,,"Итого ""Реклама"" (руб.) ",4106070,,,,,,"Итого ""Затраты на персонал"" (руб.) ",39185000,,,,,,"Итого ""Логистика и прочие траты"" (руб.) ",12572000,,,,,,"Итого ""Аренда и налоги"" (руб.) ",14290000,,,,
,За месяц,,,,,,,,За месяц,,,,,,,,За месяц,,,,,,,За месяц,,,,,,,За месяц,,,,,,,За месяц,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Итого расходов (руб.),445382356,,Итого доходов (руб.),467725246,,Прибыль без НДС,17874312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,За месяц,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-ий месяц,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оборудование и ремонт,№,Наименование,Цена (руб.),Количество,Итого (руб.),,,Закупка продуктов,№,Наименование,Цена (руб/кг),Количество (кг),Итого (руб.),,,Реклама,№,Наименование,Цена ,Количество,Итого (руб.),,Затраты на персонал,№,Наименование,Цена (руб.),Количество,Итого (руб.),,Логистика и прочие траты,№,Наименование,Цена (руб.),Количество,Итого (руб.),,Аренда и налоги,№,Наименование,Цена (руб.),Количество,Итого (руб.)
,1,"На случай ЧП, неустойки и прочее",,,10000000,,,,1,Сырая/замороженная рыба,300,361483,108445000,136640700,,,1,Реклама Google,429$ за 10 дней,3,356070,,,1,Курьер,48000,400,19200000,,,1,Перевозка грузов в фурах,45 за км,240000,10800000,,,1,Склад,730000,3,2190000
,2,Морозилка в ПВЗ,36000,22,792000,,,,2,Вяленая/сушёная рыба,2000,23238,46476429,58560301,,,2,Наружная реклама (Баннер),~150000,3,450000,,,2,Кассир,58000,200,11600000,,,2,Бензин,37,4000,148000,,,2,ПВЗ,55000,242,13310000
,3,"Потолок, пол, стены",26250,22,577500,,,,3,Овощи,39,1747682,68159615,79746750,,,3,Телевизионная реклама,~80000 за один показ,10,800000,,,3,Менеджер на складе,82000,3,246000,,,3,Комммунальные расходы,8000,203,1624000,,,3,,,,
,4,Стелаж пристенный,75000,22,1650000,,,,4,Фрукты ,69,928846,64090385,74985750,,,4,Яндекс баннер,2500000,1,2500000,,,4,Кладовщик,39000,30,1170000,,,4,,,,,,,4,,,,
,5,Стелаж стеклянный,28000,22,616000,,,,5,Алкоголь,1260,61927,78027500,105337125,,,5,,,,,,,5,Бухгалтер,46000,1,46000,,,5,,,,,,,5,,,,
,6,,,,,,,,6,Прочее,-,-,67447500,72843300,,,6,,,,,,,6,Программист,91000,3,273000,,,6,,,,,,,6,,,,
,7,,,,,,,,7,,,,,528113926,,,7,,,,,,,7,Менеджер на ПВЗ,63000,50,3150000,,,7,,,,,,,7,,,,
,8,,,,,,,,8,,,,432646429,537884034,105237605,,8,,,,,,,8,Уборщица,30000,100,3000000,,,8,,,,,,,8,,,,
,9,,,,,,,,9,,,,,,,,9,,,,,,,9,Оператор тех. поддержки,50000,10,500000,,,9,,,,,,,9,,,,
,10,,,,,,,,10,,,,,,,,10,,,,,,,10,,,,,,,10,,,,,,,10,,,,
,11,,,,,,,,11,,,,,,,,11,,,,,,,11,,,,,,,11,,,,,,,11,,,,
,12,,,,,,,,12,,,,,,,,12,,,,,,,12,,,,,,,12,,,,,,,12,,,,
,13,,,,,,,,13,,,,,,,,13,,,,,,,13,,,,,,,13,,,,,,,13,,,,
,14,,,,,,,,14,,,,,,,,14,,,,,,,14,,,,,,,14,,,,,,,14,,,,
,15,,,,,,,,15,,,,,,,,15,,,,,,,15,,,,,,,15,,,,,,,15,,,,
,16,,,,,,,,16,,,,,,,,16,,,,,,,16,,,,,,,16,,,,,,,16,,,,
,17,,,,,,,,17,,,,,,,,17,,,,,,,17,,,,,,,17,,,,,,,17,,,,
,18,,,,,,,,18,,,,,,,,18,,,,,,,18,,,,,,,18,,,,,,,18,,,,
,19,,,,,,,,19,,,,,,,,19,,,,,,,19,,,,,,,19,,,,,,,19,,,,
"Итого ""Оборудование и ремонт"" (руб.) ",13635500,,,,,,,"Итого ""Закупка продуктов"" (руб.) ",432646429,,,,,,,"Итого ""Реклама"" (руб.) ",4106070,,,,,,"Итого ""Затраты на персонал"" (руб.) ",39185000,,,,,,"Итого ""Логистика и прочие траты"" (руб.) ",12572000,,,,,,"Итого ""Аренда и налоги"" (руб.) ",15500000,,,,
,За месяц,,,,,,,,За месяц,,,,,,,,За месяц,,,,,,,За месяц,,,,,,,За месяц,,,,,,,За месяц,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Итого расходов (руб.),517644999,,Итого доходов (руб.),537884034,,Прибыль без НДС,16191228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,За месяц,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Итого расходов за 3 месяца (руб.),1397121282,,Итого доходов  за 3 месяца(руб.),1412326885,,Итоговая прибыль за 3 месяца (руб.),6689218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
График распределения расходов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оборудование и ремонт,61088500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Закупка продуктов,1136003572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Реклама,12318210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Затраты на персонал,117555000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Логистика и прочие траты,41466000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аренда и налоги,42980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Прибыль по месяцам,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Первый месяц,-27376322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Второй месяц,17874312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Третий месяц,16191228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,